Manufacture,Rev,Buships,Manufacturer,Reel,Frame,DrawingTitle,SubId
AB 7-947 N,10,165171,Lockheed Martin,36127,J 87,SAFETY RETAINER UNIT WHEEL,138
IN 16-929 V,10,210372,GlobalFoundries,34852,W 38,MAGNETIC BEARING CLASS A WHEEL,101
RS 13-433 O,9,258729,Johnson & Johnson,36166,S 11,MECHANICAL BEARING UNIT ASSEMBLY,166
RO 12-419 U,6,268637,PepsiCo,37551,B 47,AXIAL NUT FRAME WHEEL,105
PB 11-420 N,5,324675,TPI Composites,35810,I 57,TURBO ROLLER CHAIN DRIVE,164
US 16-217 Q,7,118751,Boeing,37509,S 40,SAFETY ROLLER CLASS A ONE TON,161
UC 14-123 O,6,348621,Intel Corp,32862,O 34,ELECTRICAL ROLLER UNIT DRIVE,104
UF 1-776 K,8,340671,General Electric,35826,B 4,MAGNETIC ROLLER CLASS A CHART,122
HO 7-524 Z,2,169316,Intel Corp,33582,I 74,ELECTRICAL BEARING CLASS C ONE TON,115
ZC 3-683 S,2,233375,PepsiCo,35711,V 59,ELECTRICAL SPACER CLASS B TWO TON,179
RA 6-688 I,7,276311,GE Appliances,35830,L 54,ELECTRICAL BEARING CLASS C WHEEL,139
XK 19-542 T,9,194662,Boeing,32538,J 65,SAFETY BEARING FRAME CHART,185
UI 4-649 E,2,216883,Intel Corp,36913,G 12,ROTARY RATCHET CLASS C ASSEMBLY,145
NC 1-512 X,8,317113,Microsoft,34270,C 14,SAFETY SPACER BOX WHEEL,104
OB 1-260 I,1,284735,GE Appliances,37022,O 57,MAGNETIC ROLLER BOX ONE TON,136
JH 9-388 X,6,227821,PepsiCo,36189,P 91,AXIAL HOOK FRAME ASSEMBLY,102
BG 5-939 H,4,383226,TPI Composites,35929,M 96,MECHANICAL BEARING CLASS C ONE TON,197
PV 8-255 K,1,166182,Boeing,36346,Y 6,TURBO ROLLER DEVICE DRIVE,128
NV 8-490 A,1,353169,Lockheed Martin,34146,N 36,MAGNETIC NUT CLASS C WHEEL,105
XQ 15-930 L,4,144203,PepsiCo,34598,G 81,MECHANICAL BEARING CLASS A ONE TON,151
DJ 12-541 R,6,287594,Intel Corp,32305,K 42,AXIAL HOOK CHAIN TWO TON,118
HT 4-792 J,1,143106,GE Appliances,34082,X 5,TURBO BRAKE CHAIN WHEEL,114
NI 19-643 F,7,202272,GE Appliances,35687,J 2,MECHANICAL BRAKE CLASS B TWO TON,106
VY 5-759 X,10,323116,Intel Corp,37017,X 99,AXIAL BRAKE CHAIN CHART,140
PQ 5-382 D,5,312040,Intel Corp,32972,M 46,ROTARY ROLLER CLASS A ONE TON,128
GM 19-124 W,4,230957,General Electric,32104,J 25,ELECTRICAL SPACER CLASS A ASSEMBLY,149
ZS 17-609 V,5,343190,Boeing,36676,D 68,ROTARY SPACER CLASS B ONE TON,197
MU 9-968 M,8,281746,General Electric,35068,I 27,MAGNETIC BRAKE CLASS B TWO TON,144
RK 5-231 L,9,282350,Microsoft,35392,B 57,SAFETY BRAKE CLASS A DRIVE,177
LQ 5-612 X,9,140231,PepsiCo,32060,S 69,ELECTRICAL HOOK CLASS C DRIVE,149
UQ 10-926 S,5,180398,GlobalFoundries,36727,N 2,ROTARY NUT DEVICE ONE TON,162
KN 6-402 K,5,389773,GE Appliances,34578,M 49,ROTARY PIN UNIT CHART,113
OE 4-489 D,2,264591,TPI Composites,36419,I 32,SAFETY BEARING CLASS A TWO TON,144
AY 17-591 J,9,302605,General Electric,34875,Z 16,ROTARY BRAKE FRAME ONE TON,174
VU 8-401 Z,5,342796,General Electric,33949,K 64,MAGNETIC NUT CLASS B TWO TON,114
QC 2-173 D,10,136586,TPI Composites,33534,Y 57,AXIAL RATCHET CLASS A ONE TON,171
IY 16-985 A,7,265455,Microsoft,33840,O 64,ROTARY ROLLER CLASS A TWO TON,135
CM 17-410 S,8,237095,Intel Corp,37066,S 89,ROTARY ROLLER UNIT WHEEL,145
NI 15-421 H,6,238514,Boeing,33586,L 4,SAFETY NUT CLASS A ONE TON,190
UB 19-979 P,5,201348,TPI Composites,34883,O 40,AXIAL RATCHET CLASS B WHEEL,112
DZ 13-909 M,7,270527,Microsoft,37787,H 8,TURBO RETAINER CLASS B ONE TON,139
OZ 4-935 J,10,384573,GE Appliances,34014,X 48,ELECTRICAL HOOK UNIT CHART,114
DS 1-605 U,4,233682,PepsiCo,33990,D 32,MECHANICAL RETAINER DEVICE DRIVE,120
BP 11-328 X,7,183533,TPI Composites,32098,J 55,ROTARY BRAKE CLASS A ASSEMBLY,110
AK 13-423 K,8,181755,Intel Corp,35500,S 1,MAGNETIC HOIST FRAME CHART,191
PX 12-607 X,4,309005,Lockheed Martin,34408,I 26,TURBO HOIST CLASS C ASSEMBLY,164
RG 15-601 T,2,353229,Johnson & Johnson,35510,S 22,AXIAL BEARING CHAIN CHART,162
NN 16-943 U,7,222632,GE Appliances,37983,R 85,TURBO NUT CLASS C WHEEL,177
CS 13-880 K,3,173298,Intel Corp,35873,Y 16,MAGNETIC NUT DEVICE CHART,120
CV 11-831 P,1,398591,Johnson & Johnson,37700,S 12,SAFETY SPACER FRAME TWO TON,139
UI 2-280 Y,2,196265,GE Appliances,36450,Z 7,ROTARY BRAKE FRAME ASSEMBLY,145
BZ 5-839 Y,3,356530,Microsoft,37367,Z 51,SAFETY RETAINER UNIT ONE TON,126
QI 12-503 Y,1,197801,General Electric,35540,X 12,SAFETY HOIST FRAME TWO TON,136
AC 6-437 G,6,231650,GE Appliances,33310,I 75,SAFETY ROLLER FRAME ASSEMBLY,122
QE 1-434 B,1,162460,GlobalFoundries,35422,Z 76,AXIAL RETAINER CLASS A DRIVE,195
PU 6-757 A,7,190654,Boeing,34621,Y 68,AXIAL RATCHET FRAME CHART,138
IP 13-582 A,6,233539,Lockheed Martin,37280,W 53,SAFETY NUT UNIT ASSEMBLY,159
SM 2-633 U,2,251783,General Electric,34838,Y 66,ROTARY BRAKE CHAIN WHEEL,157
NY 19-291 L,9,253569,Boeing,32800,O 93,MECHANICAL BEARING CLASS C CHART,159
TD 12-816 O,6,216040,Johnson & Johnson,37281,N 62,TURBO RATCHET BOX WHEEL,183
TL 13-542 L,8,257745,General Electric,34336,T 74,SAFETY BEARING CLASS C TWO TON,188
MS 17-317 R,2,153115,Lockheed Martin,33467,G 10,ELECTRICAL BRAKE CLASS A CHART,189
UK 11-788 U,9,381216,Johnson & Johnson,33109,D 14,ELECTRICAL HOOK BOX TWO TON,163
XV 1-922 V,10,166080,Lockheed Martin,34140,Q 40,AXIAL SPACER CLASS C DRIVE,159
VS 19-460 V,5,300116,Intel Corp,35868,B 17,ELECTRICAL RATCHET DEVICE DRIVE,119
RM 12-292 G,2,204814,Johnson & Johnson,36634,S 63,MAGNETIC RETAINER CLASS B DRIVE,193
XR 10-223 Z,4,350464,Intel Corp,34807,C 75,ROTARY RETAINER FRAME WHEEL,121
MW 18-789 D,4,158373,Intel Corp,33849,Z 69,AXIAL HOOK CLASS C CHART,163
YG 18-625 V,7,393607,Johnson & Johnson,37756,I 88,ROTARY RATCHET CLASS C DRIVE,140
UD 17-708 X,8,123669,TPI Composites,36146,C 17,MAGNETIC ROLLER FRAME WHEEL,140
BA 16-809 O,1,145731,Lockheed Martin,34445,S 14,AXIAL HOOK DEVICE ONE TON,158
GA 16-731 O,8,205330,GlobalFoundries,34743,S 60,MAGNETIC RATCHET DEVICE WHEEL,169
CX 9-644 V,5,305332,TPI Composites,34616,G 48,SAFETY RATCHET CLASS A DRIVE,130
AY 5-518 Z,7,137533,Intel Corp,36418,W 16,MAGNETIC HOIST CLASS C ASSEMBLY,148
CD 11-636 J,1,284700,GlobalFoundries,35743,G 8,AXIAL PIN CLASS C CHART,180
RW 15-143 D,1,186809,GE Appliances,37460,J 69,MECHANICAL HOIST FRAME ONE TON,190
IR 4-438 C,7,182549,Lockheed Martin,35454,V 23,ELECTRICAL PIN CLASS C WHEEL,181
MZ 8-802 J,8,118663,Microsoft,32236,O 39,MAGNETIC HOIST FRAME ONE TON,104
OU 4-822 E,1,225949,Johnson & Johnson,34647,Y 42,TURBO HOOK UNIT DRIVE,186
OF 19-794 E,10,244407,Johnson & Johnson,33759,O 91,MAGNETIC HOIST CLASS C ASSEMBLY,145
WU 5-156 Y,2,164365,Johnson & Johnson,37825,T 87,ELECTRICAL RATCHET FRAME WHEEL,110
UQ 4-208 Q,10,241724,Lockheed Martin,32810,B 30,SAFETY PIN DEVICE DRIVE,122
HP 14-989 Q,3,164580,Lockheed Martin,37050,B 58,MECHANICAL HOIST CLASS C DRIVE,154
UL 10-759 F,3,221855,PepsiCo,34848,U 51,TURBO PIN CLASS B ASSEMBLY,195
GN 3-593 U,7,144689,Boeing,33482,L 88,AXIAL RATCHET CLASS C ONE TON,121
TT 17-212 C,7,273604,GlobalFoundries,32395,O 17,TURBO ROLLER DEVICE DRIVE,180
JH 4-681 N,9,368408,Lockheed Martin,33090,M 52,SAFETY PIN FRAME CHART,168
JY 14-256 Z,3,209059,General Electric,36336,J 8,AXIAL HOIST BOX CHART,157
LV 11-213 H,8,364779,PepsiCo,34154,Z 20,MECHANICAL PIN FRAME CHART,192
JT 7-168 J,5,178112,PepsiCo,37147,I 22,MECHANICAL BEARING BOX TWO TON,126
EO 16-509 Z,7,106255,Johnson & Johnson,33975,M 82,MECHANICAL RATCHET CLASS B DRIVE,187
KQ 19-822 Y,3,180690,Johnson & Johnson,37395,Q 15,MAGNETIC ROLLER BOX WHEEL,105
IR 8-306 G,10,316370,Boeing,34720,G 49,TURBO ROLLER BOX ASSEMBLY,181
WT 2-945 C,6,238269,Boeing,36104,T 33,TURBO PIN DEVICE TWO TON,187
UJ 19-841 J,1,394415,GlobalFoundries,37300,J 56,ROTARY BRAKE BOX ONE TON,121
BW 11-559 K,2,354920,Johnson & Johnson,37645,F 1,ELECTRICAL BEARING DEVICE CHART,151
RQ 7-848 U,2,237164,TPI Composites,35314,E 97,ELECTRICAL HOIST FRAME TWO TON,147
JQ 13-558 H,4,200428,GE Appliances,36980,U 72,ROTARY BEARING CHAIN ONE TON,120
DK 6-354 L,9,384748,General Electric,34183,S 58,MECHANICAL HOOK DEVICE WHEEL,101
DN 8-224 B,5,134055,General Electric,35666,C 70,AXIAL HOOK BOX ASSEMBLY,149
IR 19-317 R,2,399015,Boeing,32270,J 75,MAGNETIC HOIST CLASS A CHART,188
XD 17-233 F,2,256461,Lockheed Martin,34481,Y 82,AXIAL RETAINER CLASS A ONE TON,179
LU 1-973 B,6,292383,PepsiCo,37462,M 72,ROTARY HOOK BOX ONE TON,146
WT 7-622 Z,2,131922,Boeing,32300,Z 54,AXIAL PIN CLASS A DRIVE,126
XW 13-621 C,3,114143,GE Appliances,35441,W 42,TURBO HOOK CHAIN TWO TON,131
VM 14-808 Y,3,142737,GE Appliances,33573,F 45,ELECTRICAL HOOK CHAIN DRIVE,133
SD 15-965 Y,5,322333,PepsiCo,32360,I 67,TURBO BRAKE FRAME ASSEMBLY,118
IV 10-927 L,2,166637,Intel Corp,34962,Z 53,AXIAL BRAKE DEVICE TWO TON,190
ES 7-899 U,6,256379,PepsiCo,33498,U 16,MECHANICAL HOOK CLASS B DRIVE,175
UE 1-946 Y,10,348227,Intel Corp,36072,V 49,ELECTRICAL ROLLER CHAIN DRIVE,131
XT 2-307 C,9,196108,Lockheed Martin,35434,P 44,ELECTRICAL ROLLER CLASS C ONE TON,196
OS 1-402 V,7,387408,Lockheed Martin,36517,N 30,SAFETY BRAKE FRAME CHART,174
VT 7-463 L,1,198650,Johnson & Johnson,33393,D 16,AXIAL RETAINER CLASS C DRIVE,159
LA 17-897 Q,8,130555,GE Appliances,35334,Y 8,MAGNETIC RATCHET UNIT DRIVE,155
VS 6-158 I,8,220931,Intel Corp,33024,Q 98,TURBO PIN CLASS C CHART,112
AC 13-589 J,7,376340,Microsoft,35498,Q 87,ROTARY RETAINER CLASS B ASSEMBLY,173
ME 1-832 X,6,247227,Boeing,33740,J 70,MECHANICAL SPACER CLASS B DRIVE,139
JC 15-849 E,6,247339,Johnson & Johnson,33046,Y 67,MECHANICAL BRAKE CLASS B TWO TON,104
UJ 3-676 O,2,113275,GlobalFoundries,34285,P 12,MAGNETIC HOOK UNIT ASSEMBLY,137
PA 8-325 I,2,294212,PepsiCo,33372,I 64,AXIAL SPACER CLASS C CHART,122
QW 7-748 X,10,106197,Boeing,37013,P 51,TURBO HOIST CHAIN WHEEL,143
VS 11-671 C,9,197978,General Electric,37979,T 63,ELECTRICAL BEARING BOX DRIVE,195
TI 2-245 N,2,174255,GlobalFoundries,35253,I 9,TURBO BRAKE CHAIN ONE TON,101
AY 17-892 K,9,323888,Microsoft,32247,N 27,ELECTRICAL PIN CLASS A ONE TON,149
JZ 8-164 J,1,294499,Boeing,36775,B 81,ROTARY NUT DEVICE CHART,139
XK 10-136 K,5,292438,PepsiCo,33874,G 21,ELECTRICAL BEARING CLASS A TWO TON,178
EF 9-511 V,9,180166,PepsiCo,33590,L 16,AXIAL HOIST FRAME ASSEMBLY,184
KT 15-963 O,1,122399,GE Appliances,36535,Y 50,MAGNETIC RATCHET FRAME ONE TON,110
ZY 5-355 O,9,210210,General Electric,33747,C 54,MECHANICAL HOOK DEVICE ONE TON,173
SH 14-753 K,7,240407,PepsiCo,33252,E 74,MAGNETIC BEARING CLASS A ASSEMBLY,156
SJ 12-406 J,1,328840,Johnson & Johnson,33135,N 94,AXIAL PIN BOX TWO TON,122
FG 9-948 O,4,201686,General Electric,32980,X 42,ROTARY BEARING CLASS C ASSEMBLY,101
GJ 6-568 L,10,385337,Lockheed Martin,37218,P 20,MECHANICAL BRAKE BOX ONE TON,163
SU 16-360 Q,8,171600,GlobalFoundries,34620,G 99,ROTARY BEARING DEVICE TWO TON,133
GR 15-327 I,1,314488,Lockheed Martin,35633,L 61,AXIAL SPACER UNIT DRIVE,180
NR 2-653 U,3,107940,Intel Corp,35794,T 62,ELECTRICAL BRAKE CLASS C CHART,187
RA 13-599 U,8,258930,General Electric,32885,V 83,MECHANICAL RETAINER DEVICE ONE TON,177
ZH 1-139 T,2,381592,TPI Composites,34752,N 58,MECHANICAL BRAKE CLASS C CHART,190
TR 17-831 N,3,101158,PepsiCo,37225,H 45,ELECTRICAL BRAKE DEVICE TWO TON,184
AA 7-548 B,8,156937,General Electric,32136,J 77,ELECTRICAL HOIST CHAIN ONE TON,101
DB 8-591 B,4,200095,Lockheed Martin,33783,Z 63,SAFETY HOOK FRAME ASSEMBLY,198
DE 19-293 T,8,307164,Lockheed Martin,37343,E 17,ROTARY HOOK CLASS C TWO TON,186
IC 16-946 C,4,255178,TPI Composites,35488,C 88,SAFETY ROLLER FRAME CHART,139
UP 15-190 V,10,240277,Boeing,33709,H 19,MAGNETIC HOOK BOX WHEEL,179
DG 16-242 C,10,327004,TPI Composites,36802,F 13,MECHANICAL BEARING FRAME TWO TON,139
HP 1-646 B,4,254949,Boeing,34307,V 7,MAGNETIC NUT DEVICE TWO TON,161
JR 3-689 E,4,101341,PepsiCo,35843,R 47,SAFETY HOIST CLASS A TWO TON,195
IH 10-129 I,1,135800,TPI Composites,32191,Y 26,TURBO SPACER CLASS C TWO TON,137
UF 12-650 Y,3,251277,Microsoft,37997,C 59,MAGNETIC ROLLER BOX ASSEMBLY,169
FG 8-282 K,10,386887,Johnson & Johnson,32962,K 79,SAFETY SPACER CLASS A DRIVE,129
KG 11-359 W,10,386957,General Electric,36787,F 92,MECHANICAL RETAINER UNIT WHEEL,137
KM 19-699 B,2,292830,TPI Composites,36946,H 63,MAGNETIC HOOK CLASS C CHART,122
FE 11-916 V,1,152581,Lockheed Martin,33754,M 45,MAGNETIC RATCHET CLASS B WHEEL,185
ZL 15-924 Z,1,196431,Lockheed Martin,34087,Q 27,ELECTRICAL BRAKE CLASS C ASSEMBLY,158
GF 12-950 D,2,251107,Lockheed Martin,37907,O 65,SAFETY RETAINER CLASS A WHEEL,117
ED 8-847 H,10,255334,GlobalFoundries,33507,M 4,TURBO PIN FRAME DRIVE,113
YA 2-534 N,7,338270,Boeing,33083,U 19,MECHANICAL HOIST CHAIN TWO TON,101
OS 16-688 V,6,174368,GE Appliances,37748,H 21,SAFETY HOOK UNIT CHART,190
WU 4-542 G,1,305038,GlobalFoundries,36010,B 75,SAFETY ROLLER CLASS C TWO TON,162
XF 18-512 L,7,296838,TPI Composites,35059,Q 32,MECHANICAL PIN CLASS A TWO TON,145
YX 19-467 P,4,123670,Lockheed Martin,35747,H 32,ROTARY BRAKE DEVICE ASSEMBLY,115
JB 9-875 V,5,233463,GlobalFoundries,33994,I 53,AXIAL BEARING CLASS C TWO TON,191
KI 4-438 H,7,224333,Johnson & Johnson,37284,Z 81,MAGNETIC NUT CHAIN ASSEMBLY,170
HO 8-739 F,9,226766,GlobalFoundries,37330,L 3,SAFETY SPACER CHAIN ASSEMBLY,190
VG 16-846 W,4,353162,Boeing,33003,U 66,SAFETY NUT CLASS C TWO TON,181
FJ 1-618 H,4,390725,Microsoft,32898,I 92,ROTARY RATCHET CLASS B TWO TON,122
PM 8-266 H,3,156363,Intel Corp,35489,B 99,ROTARY HOIST DEVICE WHEEL,114
WJ 14-344 D,5,115682,Johnson & Johnson,35206,I 34,SAFETY HOIST CLASS B ASSEMBLY,104
NB 7-716 Q,4,120027,TPI Composites,37978,C 18,ROTARY HOIST CHAIN WHEEL,182
DF 13-881 M,5,318181,Boeing,35629,M 7,ELECTRICAL PIN CLASS C ONE TON,183
WJ 13-698 G,2,201598,General Electric,34876,F 70,ELECTRICAL HOOK FRAME WHEEL,177
MO 12-131 L,8,395948,PepsiCo,36676,N 55,TURBO ROLLER CLASS A ONE TON,156
LV 7-630 X,3,385225,Boeing,37328,J 9,ELECTRICAL RATCHET DEVICE TWO TON,168
QK 6-184 O,4,169604,TPI Composites,36667,X 56,SAFETY NUT CLASS C CHART,175
LH 10-362 M,10,381929,PepsiCo,34969,E 69,AXIAL SPACER FRAME ASSEMBLY,103
XH 7-819 X,7,286517,Boeing,35242,Y 67,MECHANICAL RATCHET CHAIN WHEEL,114
TQ 2-780 Z,2,315639,Johnson & Johnson,33444,F 14,MAGNETIC RATCHET BOX WHEEL,118
DP 9-229 S,5,233475,GlobalFoundries,32840,R 74,TURBO NUT CLASS C WHEEL,159
FW 4-241 I,2,243249,Boeing,32266,J 68,AXIAL HOOK CLASS A ASSEMBLY,106
WQ 13-966 Q,8,340744,Lockheed Martin,37026,I 99,SAFETY HOOK CLASS C ASSEMBLY,196
GO 1-660 C,5,291355,GlobalFoundries,34929,K 54,MECHANICAL BEARING BOX DRIVE,112
PH 16-560 Z,7,138013,GlobalFoundries,35181,N 98,ELECTRICAL HOOK UNIT WHEEL,112
NI 4-176 F,1,287391,GE Appliances,33618,O 11,ELECTRICAL ROLLER CLASS B CHART,177
MY 4-925 L,4,178584,Lockheed Martin,37553,W 49,ELECTRICAL NUT CLASS C DRIVE,192
DJ 3-462 T,5,228866,Johnson & Johnson,34644,A 33,ROTARY BRAKE CLASS B ASSEMBLY,119
PR 19-154 X,5,393230,Microsoft,36656,F 7,TURBO ROLLER CLASS C TWO TON,117
RX 8-652 D,4,389572,TPI Composites,34065,K 40,MECHANICAL SPACER CLASS C WHEEL,111
JQ 12-509 O,7,239866,GE Appliances,33723,V 45,AXIAL NUT CLASS B TWO TON,180
UD 16-276 M,9,119757,Intel Corp,36901,V 42,ELECTRICAL PIN UNIT ASSEMBLY,116
RT 2-732 I,6,224071,Johnson & Johnson,32652,K 98,SAFETY PIN BOX DRIVE,154
EQ 2-979 R,5,188017,Johnson & Johnson,32648,G 59,SAFETY SPACER CHAIN ONE TON,137
QN 17-368 E,7,374790,Johnson & Johnson,33095,F 51,AXIAL BRAKE CLASS B DRIVE,161
VG 19-819 Y,9,211491,Microsoft,37866,B 61,MECHANICAL SPACER DEVICE ONE TON,110
TV 19-126 H,7,201194,GE Appliances,36807,D 2,SAFETY SPACER CHAIN CHART,166
UQ 7-601 P,5,246414,Boeing,34756,Q 13,TURBO HOIST UNIT DRIVE,123
GB 11-195 L,3,354385,Boeing,34857,P 59,MECHANICAL SPACER CLASS C TWO TON,125
KZ 7-995 A,10,333631,Intel Corp,35618,M 59,ROTARY PIN CHAIN ONE TON,180
NA 8-750 H,2,189096,PepsiCo,33782,K 99,SAFETY RETAINER CLASS C TWO TON,129
VJ 19-986 G,1,340247,GE Appliances,34398,S 53,MECHANICAL RETAINER CLASS B ONE TON,189
MI 5-421 N,7,336230,General Electric,33409,N 37,SAFETY SPACER CLASS C TWO TON,101
ZY 2-276 C,7,368459,Boeing,34017,X 56,MECHANICAL ROLLER CHAIN WHEEL,190
ZF 11-182 W,10,381316,GlobalFoundries,36044,P 47,ELECTRICAL RATCHET FRAME ONE TON,197
DD 11-401 S,6,246181,Boeing,35801,J 39,TURBO RATCHET CLASS B TWO TON,140
PF 6-473 K,8,113887,GE Appliances,35398,V 83,MECHANICAL HOOK UNIT TWO TON,170
MR 18-942 B,1,225490,General Electric,37034,H 38,TURBO ROLLER UNIT DRIVE,172
UU 7-434 H,3,231435,General Electric,36643,N 73,MECHANICAL HOIST CLASS C ONE TON,154
BF 13-349 W,7,262298,Microsoft,33249,A 21,SAFETY HOOK DEVICE DRIVE,138
AH 15-612 J,1,294943,GE Appliances,36478,S 29,TURBO ROLLER DEVICE TWO TON,144
KE 7-428 H,1,314052,PepsiCo,33093,N 89,MAGNETIC PIN CHAIN WHEEL,104
IG 14-800 R,3,294725,Johnson & Johnson,36806,X 90,AXIAL PIN CLASS B ONE TON,190
HK 19-933 S,4,352240,PepsiCo,37989,X 57,ROTARY BEARING BOX ASSEMBLY,194
IC 2-152 C,10,138936,GlobalFoundries,36160,L 86,AXIAL RATCHET FRAME ONE TON,176
NM 18-196 D,6,329094,Lockheed Martin,37972,F 74,MAGNETIC BRAKE UNIT WHEEL,180
XA 3-303 A,8,125028,GlobalFoundries,33509,A 76,AXIAL ROLLER UNIT WHEEL,191
SP 10-984 A,8,200127,PepsiCo,32837,K 12,MAGNETIC RATCHET CHAIN DRIVE,130
MQ 5-507 M,3,299364,Boeing,35368,T 10,TURBO RATCHET UNIT WHEEL,147
AN 18-867 Q,8,357621,Lockheed Martin,32705,O 4,SAFETY NUT CHAIN ONE TON,175
LX 12-711 Y,1,174302,Boeing,36753,C 96,TURBO HOIST CLASS B TWO TON,158
JT 7-889 M,3,156266,Microsoft,34559,X 40,AXIAL RETAINER CLASS B ASSEMBLY,162
KX 16-769 D,9,241564,Microsoft,33841,H 21,ROTARY NUT CLASS B ONE TON,114
RN 13-124 Q,6,103710,Microsoft,36348,I 15,TURBO BEARING DEVICE ONE TON,181
CQ 9-424 Y,7,117019,Boeing,36742,V 39,ROTARY SPACER DEVICE DRIVE,173
LW 8-964 V,9,235222,General Electric,36087,U 22,ROTARY SPACER CLASS C TWO TON,141
ZL 3-902 F,9,320462,Lockheed Martin,36267,J 61,SAFETY RETAINER DEVICE WHEEL,192
PK 10-632 H,6,145309,Johnson & Johnson,37622,F 43,MAGNETIC NUT CLASS A DRIVE,117
RL 12-196 D,3,315926,PepsiCo,36338,K 46,ELECTRICAL RATCHET BOX CHART,190
AQ 6-495 C,9,354908,Johnson & Johnson,36013,V 83,MAGNETIC NUT CHAIN ASSEMBLY,116
HL 9-703 C,5,366083,General Electric,32207,N 48,MAGNETIC RETAINER CLASS C ONE TON,128
JH 19-647 U,9,138592,General Electric,32142,M 41,MECHANICAL HOIST CLASS B CHART,129
NB 4-353 Y,3,231463,GlobalFoundries,33994,W 82,MAGNETIC RETAINER CHAIN ONE TON,158
NH 4-824 T,4,257899,GlobalFoundries,35831,Y 95,MAGNETIC ROLLER FRAME WHEEL,159
YN 9-279 X,7,388762,PepsiCo,36023,B 69,AXIAL RATCHET UNIT ONE TON,125
TF 15-182 R,5,222473,Intel Corp,32425,B 78,AXIAL HOIST CLASS C TWO TON,161
KW 7-174 L,2,102714,Lockheed Martin,37831,Q 32,ELECTRICAL BRAKE CLASS A ASSEMBLY,109
LR 17-987 N,8,265275,Boeing,33973,N 89,MECHANICAL PIN UNIT DRIVE,158
BA 2-945 E,2,339293,General Electric,36304,X 93,TURBO ROLLER DEVICE DRIVE,144
SR 4-194 G,9,141255,GE Appliances,34852,U 41,ROTARY PIN UNIT ASSEMBLY,110
OM 10-654 F,2,369452,Boeing,34997,B 10,TURBO ROLLER FRAME TWO TON,188
CT 13-287 Z,2,219310,GE Appliances,35575,L 83,AXIAL RATCHET CHAIN ONE TON,184
RB 6-779 X,1,341971,Microsoft,32263,I 51,ROTARY HOIST CLASS C TWO TON,117
GX 15-300 B,9,291047,Lockheed Martin,34607,Z 5,ROTARY NUT CLASS B TWO TON,128
FV 7-785 C,3,282400,PepsiCo,37733,O 33,SAFETY RETAINER CLASS B TWO TON,186
KF 18-893 W,1,326761,Microsoft,35738,O 20,AXIAL HOOK CHAIN ASSEMBLY,193
FI 15-280 Q,8,170556,GlobalFoundries,36658,Y 15,ELECTRICAL ROLLER DEVICE ONE TON,103
JY 17-151 I,3,144842,TPI Composites,36623,I 9,TURBO HOIST CLASS C TWO TON,194
QJ 1-485 R,2,251118,Intel Corp,33732,Z 35,MECHANICAL HOIST UNIT TWO TON,162
WM 19-470 V,6,175277,Microsoft,36522,W 5,MECHANICAL BRAKE CLASS B DRIVE,170
GR 14-769 P,6,283025,Lockheed Martin,37879,O 70,ELECTRICAL NUT BOX DRIVE,138
WP 17-629 V,8,168810,GlobalFoundries,37332,B 87,MAGNETIC NUT CLASS B CHART,122
OK 13-192 H,4,338135,GE Appliances,35521,O 28,SAFETY PIN CLASS A CHART,145
RB 11-707 P,1,276998,Boeing,34841,U 67,AXIAL ROLLER DEVICE CHART,106
HR 19-477 L,1,135703,Microsoft,33084,J 12,MECHANICAL PIN UNIT ONE TON,182
GG 18-178 C,3,184742,PepsiCo,37284,Q 70,ELECTRICAL HOOK BOX ONE TON,111
UP 16-888 Q,8,214244,Intel Corp,35596,Y 37,TURBO BRAKE DEVICE WHEEL,168
HH 7-908 O,2,311182,GlobalFoundries,37374,B 35,MECHANICAL ROLLER CLASS B ASSEMBLY,198
HI 19-717 K,9,101985,Lockheed Martin,34170,C 46,SAFETY PIN CLASS C TWO TON,151
TP 18-823 H,7,259438,TPI Composites,33781,Z 49,SAFETY HOIST CLASS A CHART,195
XO 6-325 U,5,355192,General Electric,37035,X 31,AXIAL ROLLER CLASS A CHART,137
EM 4-576 T,10,197608,Intel Corp,36502,V 8,ELECTRICAL ROLLER DEVICE WHEEL,116
BY 9-624 P,5,106245,Johnson & Johnson,37898,T 33,SAFETY HOOK CLASS B DRIVE,151
UE 6-820 X,2,325596,Boeing,32185,H 75,ROTARY NUT UNIT WHEEL,197
HR 15-383 G,2,244399,GE Appliances,34746,M 57,ROTARY BRAKE BOX ASSEMBLY,127
XR 6-635 V,10,209810,Intel Corp,32251,U 87,AXIAL SPACER UNIT DRIVE,149
NK 5-993 J,4,334600,PepsiCo,33621,Y 66,MAGNETIC NUT BOX ONE TON,192
ER 2-475 G,8,158481,General Electric,37526,M 97,MECHANICAL PIN CHAIN ONE TON,158
FP 4-120 G,10,128379,PepsiCo,32364,D 7,ELECTRICAL PIN CLASS B TWO TON,137
TV 5-871 U,7,170474,General Electric,37152,N 71,SAFETY SPACER UNIT WHEEL,189
YW 18-368 J,6,132777,TPI Composites,33493,K 60,AXIAL ROLLER CHAIN DRIVE,133
BK 7-840 O,10,307053,Boeing,33151,L 80,ROTARY PIN CLASS A WHEEL,145
UI 19-337 E,8,173313,Johnson & Johnson,32713,L 36,MECHANICAL BEARING CLASS B ONE TON,119
ZD 19-514 N,3,351249,Lockheed Martin,33951,U 57,TURBO SPACER BOX DRIVE,148
